"","iyear","country","attacktype1","weaptype1","gname","nkill","nhours","ndays","hostkidoutcome","suicide"
"176",2015,4,6,9,"Taliban",1,-99,NA,4,0
"177",2015,4,6,5,"Taliban",1,NA,-99,7,0
"178",2015,4,5,5,"Taliban",73,NA,-99,7,0
"179",2015,4,6,5,"Khorasan Chapter of the Islamic State",1,-99,NA,4,0
"180",2015,4,6,13,"Taliban",1,-99,NA,4,0
"181",2015,4,6,13,"Taliban",NA,NA,-99,7,0
"182",2015,4,6,5,"Taliban",NA,NA,-99,6,0
"183",2015,4,6,13,"Taliban",0,9,NA,2,0
"184",2015,4,6,5,"Khorasan Chapter of the Islamic State",NA,NA,-99,6,0
"185",2015,4,6,5,"Taliban",1,-99,NA,4,0
"186",2015,4,6,5,"Taliban",1,-99,NA,4,0
"187",2015,4,6,5,"Taliban",1,-99,NA,4,0
"188",2015,4,6,5,"Taliban",2,NA,1,4,0
"189",2015,4,6,5,"Taliban",NA,NA,-99,6,0
"190",2015,4,6,5,"Taliban",5,NA,7,4,0
"191",2016,4,6,5,"Taliban",2,NA,1,6,0
"192",2016,4,6,5,"Taliban",1,NA,-99,6,0
"193",2016,4,6,5,"Taliban",1,-99,NA,4,0
"194",2016,4,4,5,"Taliban",NA,NA,-99,7,0
"195",2016,4,6,9,"Taliban",1,1,NA,4,0
"196",2016,4,6,5,"Taliban",0,1,NA,2,0
"197",2016,4,6,5,"Taliban",2,NA,-99,6,0
"198",2016,4,6,13,"Unknown",NA,NA,-99,7,0
"199",2016,4,6,5,"Unknown",NA,NA,-99,7,0
"200",2016,4,6,5,"Taliban",NA,NA,-99,6,0
"201",2016,4,6,13,"Taliban",9,NA,-99,7,0
"202",2016,4,6,5,"Taliban",4,NA,2,4,0
"203",2016,4,6,5,"Taliban",2,-99,NA,4,0
"204",2016,4,6,5,"Taliban",0,NA,NA,NA,0
"205",2016,4,6,9,"Taliban",NA,NA,-99,7,0
"206",2016,4,6,9,"Taliban",NA,NA,-99,7,0
"207",2016,4,6,5,"Taliban",0,-99,NA,5,0
"208",2016,4,6,5,"Taliban",11,NA,-99,7,0
"209",2016,4,6,5,"Unknown",0,-99,NA,2,0
"210",2016,4,6,5,"Taliban",0,NA,3,2,0
"211",2016,4,6,5,"Taliban",0,NA,1,2,0
"212",2016,4,6,5,"Taliban",1,-99,NA,4,0
"213",2016,4,6,5,"Taliban",2,NA,-99,6,0
"214",2016,4,6,5,"Taliban",0,NA,2,5,0
"215",2016,4,6,13,"Taliban",1,NA,-99,6,0
"216",2016,4,6,5,"Taliban",0,NA,-99,2,0
"217",2016,4,6,13,"Taliban",1,NA,NA,NA,0
"218",2016,4,6,5,"Taliban",0,NA,3,2,0
"219",2016,4,6,13,"Khorasan Chapter of the Islamic State",0,NA,46,6,0
"220",2016,4,6,5,"Unknown",0,NA,18,2,0
"221",2016,4,6,13,"Unknown",0,NA,12,5,0
"222",2016,4,6,13,"Taliban",1,-99,NA,4,0
"223",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"224",2016,4,6,5,"Taliban",1,NA,2,4,0
"225",2016,4,6,5,"Taliban",1,-99,NA,6,0
"226",2016,4,6,13,"Taliban",1,-99,NA,4,0
"227",2016,4,6,5,"Taliban",0,NA,1,2,0
"228",2016,4,6,6,"Taliban",6,NA,-99,7,0
"229",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"230",2016,4,6,5,"Taliban",0,4,NA,5,0
"231",2016,4,6,5,"Unknown",0,NA,NA,NA,0
"232",2016,4,6,9,"Taliban",2,-99,NA,4,0
"233",2016,4,6,5,"Unknown",1,NA,-99,7,0
"234",2016,4,6,8,"Taliban",NA,NA,-99,7,0
"235",2016,4,6,5,"Taliban",12,-99,NA,4,0
"236",2016,4,6,5,"Muslim extremists",0,NA,122,2,0
"237",2016,4,6,9,"Taliban",0,-99,NA,2,0
"238",2016,4,6,5,"Taliban",1,-99,NA,4,0
"239",2016,4,6,13,"Unknown",0,NA,NA,NA,0
"240",2016,4,6,5,"Taliban",0,NA,5,2,0
"241",2016,4,6,5,"Hizb-I-Islami",0,NA,2,2,0
"242",2016,4,6,13,"Taliban",8,NA,-99,7,0
"243",2016,4,6,13,"Taliban",7,NA,-99,7,0
"244",2016,4,6,13,"Unknown",0,NA,NA,NA,0
"245",2016,4,6,5,"Taliban",2,NA,-99,7,0
"246",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"247",2016,4,6,13,"Unknown",NA,NA,-99,7,0
"248",2016,4,6,5,"Taliban",1,-99,NA,4,0
"249",2016,4,6,13,"Unknown",NA,NA,-99,7,0
"250",2016,4,6,5,"Taliban",1,NA,378,5,0
"251",2016,4,6,5,"Taliban",1,NA,-99,6,0
"252",2016,4,6,5,"Taliban",18,NA,-99,6,0
"253",2016,4,6,5,"Unknown",1,-99,NA,4,0
"254",2016,4,6,5,"Taliban",0,-99,NA,2,0
"255",2016,4,6,9,"Taliban",1,-99,NA,4,0
"256",2016,4,6,9,"Taliban",0,-99,NA,2,0
"257",2016,4,6,8,"Taliban",NA,NA,-99,7,0
"258",2016,4,6,5,"Taliban",6,-99,NA,4,0
"259",2016,4,6,5,"Taliban",6,-99,NA,4,0
"260",2016,4,6,13,"Taliban",6,-99,NA,4,0
"261",2016,4,6,13,"Taliban",5,NA,-99,6,0
"262",2016,4,6,5,"Taliban",0,NA,43,6,0
"263",2016,4,6,5,"Taliban",0,NA,NA,NA,0
"264",2016,4,6,5,"Taliban",3,-99,NA,4,0
"265",2016,4,6,5,"Taliban",NA,NA,-99,7,0
"266",2016,4,6,9,"Taliban",1,-99,NA,4,0
"267",2016,4,6,5,"Taliban",NA,NA,-99,7,0
"268",2016,4,6,5,"Taliban",0,NA,1,6,0
"269",2016,4,6,5,"Khorasan Chapter of the Islamic State",11,NA,-99,6,0
"270",2016,4,6,5,"Taliban",1,NA,3,3,0
"271",2016,4,6,5,"Taliban",0,NA,2,2,0
"272",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"273",2016,4,6,13,"Taliban",0,NA,6,2,0
"274",2016,4,6,8,"Taliban",NA,NA,-99,7,0
"275",2016,4,6,13,"Taliban",3,NA,-99,7,0
"276",2016,4,5,9,"Taliban",0,-99,NA,2,0
"277",2016,4,6,5,"Taliban",1,-99,NA,4,0
"278",2016,4,6,9,"Taliban",6,NA,-99,4,0
"279",2016,4,6,8,"Taliban",0,NA,7,2,0
"280",2016,4,6,5,"Taliban",0,NA,1199,2,0
"281",2016,4,6,9,"Khorasan Chapter of the Islamic State",2,-99,NA,4,0
"282",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"283",2016,4,6,13,"Taliban",4,NA,7,4,0
"284",2016,4,6,5,"Unknown",NA,NA,-99,7,0
"285",2016,4,6,13,"Unknown",NA,NA,-99,7,0
"286",2016,4,6,13,"Taliban",6,NA,-99,4,0
"287",2016,4,6,13,"Khorasan Chapter of the Islamic State",9,NA,-99,6,0
"288",2016,4,6,6,"Taliban",1,-99,NA,4,0
"289",2016,4,5,6,"Taliban",19,-99,NA,5,1
"290",2016,4,6,13,"Taliban",NA,NA,-99,6,0
"291",2016,4,6,5,"Taliban",2,1,NA,4,0
"292",2016,4,6,5,"Taliban",NA,NA,-99,6,0
"293",2016,4,5,6,"Taliban",4,-99,NA,5,1
"294",2016,4,6,5,"Taliban",2,NA,1,4,0
"295",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"296",2016,4,6,5,"Unknown",1,-99,NA,4,0
"297",2016,4,6,6,"Taliban",12,NA,-99,7,0
"298",2016,4,6,13,"Khorasan Chapter of the Islamic State",3,-99,NA,4,0
"299",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"300",2016,4,6,5,"Taliban",NA,NA,-99,6,0
"301",2016,4,6,13,"Taliban",2,NA,-99,7,0
"302",2016,4,6,13,"Taliban",NA,NA,-99,7,0
"303",2016,4,6,5,"Taliban",90,NA,-99,7,0
"304",2016,4,6,13,"Taliban",3,NA,-99,7,0
"305",2016,4,6,5,"Taliban",0,NA,2,2,0
